"Date","Currency","Inverse","Rate"
"Fri, 7 Jul 2023 23:55:01 GMT","EUR - Euro","1.08967118","0.91770804"
"Fri, 7 Jul 2023 23:55:01 GMT","GBP - U.K. Pound Sterling","1.27629356","0.78351880"
"Fri, 7 Jul 2023 23:55:01 GMT","CHF - Swiss Franc","1.11764232","0.89474064"
"Fri, 7 Jul 2023 23:55:01 GMT","CAD - Canadian Dollar","0.74941658","1.33437134"
"Fri, 7 Jul 2023 23:55:01 GMT","JPY - Japanese Yen","0.00698638","143.13560208"
"Fri, 7 Jul 2023 23:55:01 GMT","AUD - Australian Dollar","0.66453162","1.50481929"
"Fri, 7 Jul 2023 23:55:01 GMT","THB - Thai Baht","0.02835192","35.27098232"
"Fri, 7 Jul 2023 23:55:01 GMT","TWD - New Taiwan Dollar ","0.03201328","31.23703718"
"Fri, 7 Jul 2023 23:55:01 GMT","LYD - Libyan Dinar","0.20780125","4.81229069"
"Fri, 7 Jul 2023 23:55:01 GMT","MGA - Malagasy ariary","0.00021802","4586.74832962"
"Fri, 7 Jul 2023 23:55:01 GMT","SRD - Surinamese dollar","0.02636626","37.92725599"
"Fri, 7 Jul 2023 23:55:01 GMT","SYP - Syrian pound","0.00038845","2574.31250000"
"Fri, 7 Jul 2023 23:55:01 GMT","MOP - Macanese pataca","0.12289689","8.13690241"
"Fri, 7 Jul 2023 23:55:01 GMT","BAM - Bosnia and Herzegovina convertible mark","0.55116657","1.81433354"
"Fri, 7 Jul 2023 23:55:01 GMT","KWD - Kuwaiti Dinar","3.24193031","0.30845820"
"Fri, 7 Jul 2023 23:55:01 GMT","ILS - Israeli New Sheqel","0.26938432","3.71216854"
"Fri, 7 Jul 2023 23:55:01 GMT","PEN - Peruvian Nuevo Sol","0.27467080","3.64072196"
"Fri, 7 Jul 2023 23:55:01 GMT","RSD - Serbian Dinar","0.00925785","108.01642151"
"Fri, 7 Jul 2023 23:55:01 GMT","NIO - Nicaraguan C?rdoba","0.02711889","36.87466428"
"Fri, 7 Jul 2023 23:55:01 GMT","SBD - Solomon Islands dollar","0.11680303","8.56142174"
"Fri, 7 Jul 2023 23:55:01 GMT","LAK - Lao kip","0.00005196","19247.19626168"
"Fri, 7 Jul 2023 23:55:01 GMT","GTQ - Guatemalan Quetzal","0.12656292","7.90120852"
"Fri, 7 Jul 2023 23:55:01 GMT","OMR - Omani Rial","2.58816470","0.38637418"
"Fri, 7 Jul 2023 23:55:01 GMT","SGD - Singapore Dollar","0.74025081","1.35089349"
"Fri, 7 Jul 2023 23:55:01 GMT","HUF - Hungarian Forint","0.00280293","356.77002936"
"Fri, 7 Jul 2023 23:55:01 GMT","HRK - Croatian Kuna","0.12973330","7.70812128"
"Fri, 7 Jul 2023 23:55:01 GMT","ARS - Argentine Peso","0.00383417","260.81279521"
"Fri, 7 Jul 2023 23:55:01 GMT","STN - S?o Tom? and Pr?ncipe Dobra","0.04411372","22.66868465"
"Fri, 7 Jul 2023 23:55:01 GMT","BIF - Burundian franc","0.00035106","2848.47856155"
"Fri, 7 Jul 2023 23:55:01 GMT","AOA - Angolan kwanza","0.00118964","840.59183673"
"Fri, 7 Jul 2023 23:55:01 GMT","MVR - Maldivian rufiyaa","0.06419190","15.57829047"
"Fri, 7 Jul 2023 23:55:01 GMT","SEK - Swedish Krona","0.09164648","10.91149347"
"Fri, 7 Jul 2023 23:55:01 GMT","CNY - Chinese Yuan","0.13822684","7.23448493"
"Fri, 7 Jul 2023 23:55:01 GMT","ISK - Icelandic Krona","0.00741199","134.91656282"
"Fri, 7 Jul 2023 23:55:01 GMT","MDL - Moldova Lei","0.05456288","18.32747821"
"Fri, 7 Jul 2023 23:55:01 GMT","CRC - Costa Rican Col?n","0.00181862","549.86778967"
"Fri, 7 Jul 2023 23:55:01 GMT","BZD - Belize dollar","0.49231591","2.03121610"
"Fri, 7 Jul 2023 23:55:01 GMT","GNF - Guinean franc","0.00011532","8671.36842105"
"Fri, 7 Jul 2023 23:55:01 GMT","HNL - Honduran Lempira","0.04032630","24.79771222"
"Fri, 7 Jul 2023 23:55:01 GMT","KES - Kenyan shilling","0.00704776","141.88914534"
"Fri, 7 Jul 2023 23:55:01 GMT","DOP - Dominican Peso","0.01807992","55.30997594"
"Fri, 7 Jul 2023 23:55:01 GMT","LBP - Lebanese Pound","0.00006665","15003.73171493"
"Fri, 7 Jul 2023 23:55:01 GMT","MYR - Malaysian Ringgit","0.21419070","4.66873670"
"Fri, 7 Jul 2023 23:55:01 GMT","AMD - Armenia Dram","0.00258790","386.41422298"
"Fri, 7 Jul 2023 23:55:01 GMT","PYG - Paraguayan Guaran?","0.00013686","7306.92906542"
"Fri, 7 Jul 2023 23:55:01 GMT","GYD - Guyanese dollar","0.00469179","213.13842173"
"Fri, 7 Jul 2023 23:55:01 GMT","RWF - Rwandan franc","0.00085435","1170.47456664"
"Fri, 7 Jul 2023 23:55:01 GMT","MZN - Mozambican metical","0.01546529","64.66091052"
"Fri, 7 Jul 2023 23:55:01 GMT","UGX - Ugandan shilling","0.00026876","3720.77687444"
"Fri, 7 Jul 2023 23:55:01 GMT","ANG - Neth. Antillean Guilder","0.55460432","1.80308728"
"Fri, 7 Jul 2023 23:55:01 GMT","PHP - Philippine Peso","0.01799930","55.55772267"
"Fri, 7 Jul 2023 23:55:01 GMT","XOF - West African CFA Franc","0.00165712","603.45801906"
"Fri, 7 Jul 2023 23:55:01 GMT","KGS - Kyrgyzstan Som","0.01145809","87.27458299"
"Fri, 7 Jul 2023 23:55:01 GMT","AFN - Afghan afghani","0.01145087","87.32958762"
"Fri, 7 Jul 2023 23:55:01 GMT","NAD - Namibian dollar","0.05304814","18.85080092"
"Fri, 7 Jul 2023 23:55:01 GMT","SDG - Sudanese pound","0.00165093","605.72058824"
"Fri, 7 Jul 2023 23:55:01 GMT","TOP - Tongan pa?anga","0.42448226","2.35581103"
"Fri, 7 Jul 2023 23:55:01 GMT","VUV - Vanuatu vatu","0.00828862","120.64733450"
"Fri, 7 Jul 2023 23:55:01 GMT","JOD - Jordanian Dinar","1.40629960","0.71108603"
"Fri, 7 Jul 2023 23:55:01 GMT","TRY - Turkish Lira","0.03836225","26.06729450"
"Fri, 7 Jul 2023 23:55:01 GMT","NGN - Nigerian Naira","0.00130075","768.78880166"
"Fri, 7 Jul 2023 23:55:01 GMT","TMT - New Turkmenistan Manat","0.28551656","3.50242379"
"Fri, 7 Jul 2023 23:55:01 GMT","SVC - Salvadoran colon","0.11335551","8.82180338"
"Fri, 7 Jul 2023 23:55:01 GMT","XCD - East Caribbean Dollar","0.36621428","2.73064174"
"Fri, 7 Jul 2023 23:55:01 GMT","PGK - Papua New Guinean kina","0.27407803","3.64859598"
"Fri, 7 Jul 2023 23:55:01 GMT","BWP - Botswana Pula","0.07373328","13.56239710"
"Fri, 7 Jul 2023 23:55:01 GMT","NZD - New Zealand Dollar","0.61772104","1.61885371"
"Fri, 7 Jul 2023 23:55:01 GMT","CZK - Czech Koruna","0.04550835","21.97399127"
"Fri, 7 Jul 2023 23:55:01 GMT","BYN - Belarussian Ruble","0.36127803","2.76795132"
"Fri, 7 Jul 2023 23:55:01 GMT","GEL - Georgian lari","0.38267428","2.61318841"
"Fri, 7 Jul 2023 23:55:01 GMT","MKD - Macedonian denar","0.01753356","57.03346765"
"Fri, 7 Jul 2023 23:55:01 GMT","AWG - Aruban florin","0.54825317","1.82397485"
"Fri, 7 Jul 2023 23:55:01 GMT","ZMW - Zambian kwacha","0.05647139","17.70808255"
"Fri, 7 Jul 2023 23:55:01 GMT","KHR - Cambodian riel","0.00024036","4160.50505051"
"Fri, 7 Jul 2023 23:55:01 GMT","NOK - Norwegian Krone","0.09327007","10.72155259"
"Fri, 7 Jul 2023 23:55:01 GMT","QAR - Qatari Rial","0.27329523","3.65904660"
"Fri, 7 Jul 2023 23:55:01 GMT","BDT - Bangladeshi taka","0.00921543","108.51367454"
"Fri, 7 Jul 2023 23:55:01 GMT","RON - Romanian New Leu","0.21970372","4.55158425"
"Fri, 7 Jul 2023 23:55:01 GMT","KZT - Kazakhstani Tenge","0.00224347","445.73713241"
"Fri, 7 Jul 2023 23:55:01 GMT","COP - Colombian Peso","0.00024008","4165.36336004"
"Fri, 7 Jul 2023 23:55:01 GMT","BBD - Barbadian Dollar","0.49146617","2.03472805"
"Fri, 7 Jul 2023 23:55:01 GMT","DJF - Djiboutian franc","0.00557333","179.42585816"
"Fri, 7 Jul 2023 23:55:01 GMT","ALL - Albanian lek","0.01035252","96.59482658"
"Fri, 7 Jul 2023 23:55:01 GMT","SCR - Seychelles rupee","0.07339338","13.62520675"
"Fri, 7 Jul 2023 23:55:01 GMT","VES - Venezuelan Bolivar","0.03555027","28.12918306"
"Fri, 7 Jul 2023 23:55:01 GMT","IDR - Indonesian Rupiah","0.00006606","15137.40441977"
"Fri, 7 Jul 2023 23:55:01 GMT","MXN - Mexican Peso","0.05803726","17.23031039"
"Fri, 7 Jul 2023 23:55:01 GMT","DZD - Algerian Dinar","0.00737748","135.54768214"
"Fri, 7 Jul 2023 23:55:01 GMT","PAB - Panamanian Balboa","0.99610032","1.00391495"
"Fri, 7 Jul 2023 23:55:01 GMT","FJD - Fiji Dollar","0.44640559","2.24011530"
"Fri, 7 Jul 2023 23:55:01 GMT","CDF - Congolese franc","0.00040423","2473.81381381"
"Fri, 7 Jul 2023 23:55:01 GMT","LSL - Lesotho loti","0.05302387","18.85943223"
"Fri, 7 Jul 2023 23:55:01 GMT","TZS - Tanzanian shilling","0.00040909","2444.45103858"
"Fri, 7 Jul 2023 23:55:01 GMT","AED - U.A.E Dirham","0.27210116","3.67510379"
"Fri, 7 Jul 2023 23:55:01 GMT","NPR - Nepalese Rupee","0.00757465","132.01937288"
"Fri, 7 Jul 2023 23:55:01 GMT","XAF - Central African CFA Franc","0.00165540","604.08526695"
"Fri, 7 Jul 2023 23:55:01 GMT","IQD - Iraqi dinar","0.00076282","1310.92203135"
"Fri, 7 Jul 2023 23:55:01 GMT","BOB - Bolivian Boliviano","0.14442213","6.92414659"
"Fri, 7 Jul 2023 23:55:01 GMT","LRD - Liberian dollar","0.00541407","184.70403587"
"Fri, 7 Jul 2023 23:55:01 GMT","SSP - South Sudanese pound","0.00100245","997.55388714"
"Fri, 7 Jul 2023 23:55:01 GMT","MRU - Mauritanian ouguiya","0.02872126","34.81741336"
"Fri, 7 Jul 2023 23:55:01 GMT","MNT - Mongolian togrog","0.00028770","3475.86497890"
"Fri, 7 Jul 2023 23:55:01 GMT","BRL - Brazilian Real","0.20471146","4.88492435"
"Fri, 7 Jul 2023 23:55:01 GMT","INR - Indian Rupee","0.01209495","82.67916306"
"Fri, 7 Jul 2023 23:55:01 GMT","TND - Tunisian Dinar","0.32298222","3.09614565"
"Fri, 7 Jul 2023 23:55:01 GMT","VND - Vietnamese Dong","0.00004232","23629.85943289"
"Fri, 7 Jul 2023 23:55:01 GMT","UZS - Uzbekistan Sum","0.00008695","11501.39142801"
"Fri, 7 Jul 2023 23:55:01 GMT","ETB - Ethiopian birr","0.01803880","55.43606999"
"Fri, 7 Jul 2023 23:55:01 GMT","TTD - Trinidad Tobago Dollar","0.14634975","6.83294625"
"Fri, 7 Jul 2023 23:55:01 GMT","GHS - Ghanaian Cedi","0.08742625","11.43821161"
"Fri, 7 Jul 2023 23:55:01 GMT","CUP - Cuban peso","0.99223094","1.00782990"
"Fri, 7 Jul 2023 23:55:01 GMT","DKK - Danish Krone","0.14613497","6.84298889"
"Fri, 7 Jul 2023 23:55:01 GMT","LKR - Sri Lanka Rupee","0.00324474","308.19130233"
"Fri, 7 Jul 2023 23:55:01 GMT","BGN - Bulgarian Lev","0.55669799","1.79630611"
"Fri, 7 Jul 2023 23:55:01 GMT","RUB - Russian Rouble","0.01075931","92.94276663"
"Fri, 7 Jul 2023 23:55:01 GMT","TJS - Tajikistan Ruble","0.09152928","10.92546546"
"Fri, 7 Jul 2023 23:55:01 GMT","GMD - Gambian dalasi","0.01582947","63.17331288"
"Fri, 7 Jul 2023 23:55:01 GMT","CVE - Cape Verde escudo","0.00975989","102.46019900"
"Fri, 7 Jul 2023 23:55:01 GMT","MWK - Malawian kwacha","0.00094200","1061.57216495"
"Fri, 7 Jul 2023 23:55:01 GMT","YER - Yemeni rial","0.00396562","252.16725848"
"Fri, 7 Jul 2023 23:55:01 GMT","PKR - Pakistani Rupee","0.00351042","284.86606775"
"Fri, 7 Jul 2023 23:55:01 GMT","SAR - Saudi Riyal","0.26650617","3.75225837"
"Fri, 7 Jul 2023 23:55:01 GMT","PLN - Polish Zloty","0.24292776","4.11645015"
"Fri, 7 Jul 2023 23:55:01 GMT","UAH - Ukrainian Hryvnia","0.02730147","36.62806524"
"Fri, 7 Jul 2023 23:55:01 GMT","CLP - Chilean Peso","0.00124093","805.84861386"
"Fri, 7 Jul 2023 23:55:01 GMT","BSD - Bahamian Dollar","0.99223094","1.00782990"
"Fri, 7 Jul 2023 23:55:01 GMT","XPF - CFP Franc","0.00904999","110.49737096"
"Fri, 7 Jul 2023 23:55:01 GMT","MMK - Myanma Kyat","0.00047246","2116.59815005"
"Fri, 7 Jul 2023 23:55:01 GMT","MUR - Mauritian Rupee","0.02180194","45.86748330"
"Fri, 7 Jul 2023 23:55:01 GMT","EGP - Egyptian Pound","0.03235253","30.90948139"
"Fri, 7 Jul 2023 23:55:01 GMT","KRW - South Korean Won","0.00076688","1303.99165198"
"Fri, 7 Jul 2023 23:55:01 GMT","AZN - Azerbaijan Manat","0.58860810","1.69892326"
"Fri, 7 Jul 2023 23:55:01 GMT","HTG - Haitian gourde","0.00722483","138.41153394"
"Fri, 7 Jul 2023 23:55:01 GMT","BND - Brunei Dollar","0.73393382","1.36252067"
"Fri, 7 Jul 2023 23:55:01 GMT","KMF - 	Comoro franc","0.00219719","455.12707182"
"Fri, 7 Jul 2023 23:55:01 GMT","SZL - Swazi lilangeni","0.05302387","18.85943223"
"Fri, 7 Jul 2023 23:55:01 GMT","SOS - Somali shilling","0.00174246","573.90274488"
"Fri, 7 Jul 2023 23:55:01 GMT","BHD - Bahrain Dinar","2.64547549","0.37800388"
"Fri, 7 Jul 2023 23:55:01 GMT","MAD - Moroccan Dirham","0.10116460","9.88488051"
"Fri, 7 Jul 2023 23:55:01 GMT","ZAR - South African Rand","0.05251637","19.04168181"
"Fri, 7 Jul 2023 23:55:01 GMT","IRR - Iranian rial","0.00002379","42042.12236445"
"Fri, 7 Jul 2023 23:55:01 GMT","UYU - Uruguayan Peso","0.02633571","37.97126151"
"Fri, 7 Jul 2023 23:55:01 GMT","JMD - Jamaican Dollar","0.00645803","154.84586466"
"Fri, 7 Jul 2023 23:55:01 GMT","GIP - Gibraltar pound","1.26133191","0.79281273"
"Fri, 7 Jul 2023 23:55:01 GMT","ERN - Eritrean nakfa","0.06581854","15.19328661"
"Fri, 7 Jul 2023 23:55:01 GMT","WST - Samoan tala","0.36684552","2.72594308"
"Fri, 7 Jul 2023 23:55:01 GMT","HKD - Hong Kong Dollar","0.12776337","7.82696932"
